variant_id,token_len,diff_pos,clean_token->corrupt_token,score_clean,score_corrupt,delta (corrupt-clean),max_restoration_raw,restoration_frac,hot1_L,hot1_P,hot1_R,hot2_L,hot2_P,hot2_R,hot3_L,hot3_P,hot3_R,spread(>0.5*max_rest),spread(>0.2*|delta|),hotspot_dist_to_diffpos
v01,21,16,' wizard' -> ' algorithm',-4.683380126953125,-3.5830307006835938,1.1003494262695312,1.1394577026367188,1.0355416883342001,5,16,1.0355416536331177,2,16,1.0014283657073975,11,20,1.0,11,14,0
v02,21,2,' Antonio' -> ' Cris',2.2489013671875,2.7341690063476562,0.48526763916015625,0.48526763916015625,1.0,11,20,1.0,2,2,0.9256033301353455,1,2,0.9251630902290344,11,13,18
v03,21,2,' Antonio' -> ' Professor',1.71514892578125,2.6661911010742188,0.9510421752929688,0.9510421752929688,1.0,11,20,1.0,1,2,0.8751434087753296,0,2,0.8450683951377869,11,14,18
v04,21,11,' bananas' -> ' oranges',-3.296142578125,-1.7884521484375,1.5076904296875,1.5076904296875,1.0,11,20,1.0,5,11,0.9960782527923584,4,11,0.9762012958526611,12,14,9
v05,21,11,' bananas' -> ' engines',-0.7982559204101562,2.4198837280273438,3.2181396484375,3.2701644897460938,1.0161661229753822,5,11,1.016166090965271,1,11,1.013200283050537,2,11,1.0015007257461548,11,14,0
v06,21,20,' espresso' -> ' coffee',2.7270126342773438,3.9086456298828125,1.1816329956054688,1.1816329956054688,1.0,2,20,1.0,1,20,1.0,0,20,1.0,12,12,0
v07,21,20,' espresso' -> ' swords',-6.557319641113281,7.708274841308594,14.265594482421875,14.265594482421875,1.0,2,20,1.0,1,20,1.0,0,20,1.0,12,12,0
v08,21,13,' he' -> ' she',-2.8409423828125,-1.1965866088867188,1.6443557739257812,1.6443557739257812,1.0,11,20,1.0,0,13,0.9976476430892944,1,13,0.9902750849723816,9,13,7
v09,21,12,"';' -> ','",-0.32562255859375,2.1199493408203125,2.4455718994140625,2.4455718994140625,1.0,11,20,1.0,0,12,0.9711180329322815,1,12,0.9469966888427734,13,14,8
v10,21,0,'J' -> 'j',-1.0223922729492188,-1.025604248046875,-0.00321197509765625,0.02783203125,8.665083135391924,1,0,8.665082931518555,4,0,7.774346828460693,5,0,7.7292160987854,10,89,0
